#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,アジ科（Carangidae）
#7,アジ属（Trachurus）
#8,マアジ（Trachurus japonicus）

#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,サバ科（Scombridae）
#7,サバ属（Scomber）
#8,マサバ（Scomber japonicus）

#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,サバ科（Scombridae）
#7,カツオ属（Katsuwonus）
#8,カツオ（Katsuwonus pelamis）

#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,フサカサゴ科（Sebastidae）
#7,メバル属（Sebastes）
#8,メバル（Sebastes inermis）

#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,タイ科（Sparidae）
#7,クロダイ属（Acanthopagrus）
#8,クロダイ（Acanthopagrus schlegelii）

#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,ハタ科（Serranidae）
#7,ハタ属（Epinephelus）
#8,キジハタ（Epinephelus akaara）

#1,動物界（Animalia）
#2,脊索動物門（Chordata）
#3,脊椎動物亜門（Vertebrata）
#4,条鰭綱（Actinopterygii）
#5,スズキ目（Perciformes）
#6,タイ科（Sparidae）
#7,マダイ属（Pagrus）
#8,マダイ（Pagrus major）
